BoundingName | ModelName | Positions | BoundingScale | ModelScale | Model Rotation | Bounding Rotation | Offset | Mass 	//numberOfBodies on first line
17#
box0,cube,0,0,0,35,0.075,35,35,0.1,35,0,0,0,0,0,0,0,0,0,0,
box1,box,-3.05048,1.54488,-32.6176,0.2,0.2,0.2,0.377999,1.49201,0.377999,0,0,0,0,0,0,0,0,0,0,
box2,house,-1.0381,5.1,22.8238,8.00001,5,8.90002,0.02,0.02,0.02,0,0,0,0,0,0,1.49012e-08,-0.2,-2.6,0,
box3,car,-16.7781,1.34492,4.91168,1.9,0.9,5,0.02,0.02,0.02,0,0,0,0,0,0,0,-0.3,0,0,
box4,barrier,-26.4822,1.3049,13.9121,0.9,1.1,3.5,3.51,3.51,3.51,0,0,0,0,0,0,0,1,0,0,
box5,barrier,-0.619634,1.3049,0.352106,0.9,1.1,3.5,3.51,3.51,3.51,0,0,0,0,0,0,0,1,0,0,
box6,barrier,18.845,1.27499,17.0262,0.9,1.1,3.5,3.51,3.51,3.51,0,0,0,0,0,0,0,1,0,0,
box7,heart,-1.54616,1.76495,-12.0175,0.2,0.2,0.15,0.09,0.09,0.09,0,0,0,0,0,0,0,-0.7,0,0,
box8,barrier,-1.54616,1.3049,-22.0175,0.9,1.1,3.5,3.51,3.51,3.51,0,0,0,0,0,0,0,1,0,0,
box9,barrier,-26.4822,1.3049,-28,0.9,1.1,3.5,3.51,3.51,3.51,0,0,0,0,0,0,0,1,0,0,
box10,barrier,18.845,1.3049,-28,0.9,1.1,3.5,3.51,3.51,3.51,0,0,0,0,0,0,0,1,0,0,
box11,carpile,27.1896,1.77488,-17.5245,1.1,1.4,2.8,0.01,0.01,0.01,0,176.3,0,0,0,0,3.1,0.2,-0.1,0,
box12,box,29.8569,0.774903,-17.7552,1.55,0.55,3,0.01,0.01,0.01,0,1.6999,0,0,0,0,0,0,0,0,
box13,box,28.6738,0.804909,-21.9541,1,0.65,2.6,0.01,0.01,0.01,0,89.1998,0,0,0,0,0,0,0,0,
box14,carpile,-27.1896,1.77488,-17.5245,1.1,1.4,2.8,0.01,0.01,0.01,0,176.3,0,0,0,0,3.1,0.2,-0.1,0,
box15,box,-29.8569,0.774903,-17.7552,1.55,0.55,3,0.01,0.01,0.01,0,1.6999,0,0,0,0,0,0,0,0,
box16,box,-28.6738,0.804909,-21.9541,1,0.65,2.6,0.01,0.01,0.01,0,89.1998,0,0,0,0,0,0,0,0,
