BoundingName | ModelName | Positions | BoundingScale | ModelScale | Model Rotation | Bounding Rotation | Offset | Mass 	//numberOfBodies on first line
20#
box0,cube,0,0,0,25,0.075,25,25,0.1,25,0,0,0,0,0,0,1.49012e-08,0,0,0,
box1,cube,50,0,0,25,0.075,25,25,0.1,25,0,0,0,0,0,0,1.49012e-08,0,0,0,
box2,cube,-50,0,0,25,0.075,25,25,0.1,25,0,0,0,0,0,0,1.49012e-08,0,0,0,
box3,cube,0,0,50,25,0.075,25,25,0.1,25,0,0,0,0,0,0,1.49012e-08,0,0,0,
box4,cube,0,0,-50,25,0.075,25,25,0.1,25,0,0,0,0,0,0,1.49012e-08,0,0,0,
box5,cube,-50,0,-50,25,0.075,25,25,0.1,25,0,0,0,0,0,0,1.49012e-08,0,0,0,
box6,cube,-50,0,50,25,0.075,25,25,0.1,25,0,0,0,0,0,0,1.49012e-08,0,0,0,
box7,cube,50,0,50,25,0.075,25,25,0.1,25,0,0,0,0,0,0,1.49012e-08,0,0,0,
box8,cube,50,0,-50,25,0.075,25,25,0.1,25,0,0,0,0,0,0,1.49012e-08,0,0,0,
box9,house,-44.4605,5.57499,-11.0985,7.85001,5.55,8.40001,0.02,0.02,0.02,0,0,0,0,0,0,-0.2,1.49012e-08,-1.9,0,
box10,house,22.0719,5.64498,-34.6521,7.85001,5.55,8.40001,0.02,0.02,0.02,0,0,0,0,0,0,0.2,0.2,-2,0,
box11,house,40.7695,5.62502,45.5812,7.85001,5.55,8.40001,0.02,0.02,0.02,0,0,0,0,0,0,0,-0.2,-2.3,0,
box12,carpile,-17.64461,3.58497,48.2493,5.35,3.5,8.35001,0.02,0.02,0.02,0,0,0,0,0,0,2.8,0.7,2.8,0,
box13,carpile,30.8237,3.61496,-6.42305,5.35,3.5,8.35001,0.02,0.02,0.02,0,0,0,0,0,0,3.5,0.9,2.2,0,
box14,oiltank,10.20086,3.24497,-30.9892,2.15,3.15,1.25,0.13,0.13,0.13,0,2,0,0,0,0,0,-0.3,0,0,
box15,oiltank,-19.7113,3.26496,3.90042,2.15,3.15,1.25,0.13,0.13,0.13,0,0,0,0,0,0,0,0,0,0,
box16,heart,-4.26411,1.17498,-1.5126,0.4,0.3,-0.25,0.14,0.14,0.14,0,0,0,0,0,0,0,-1.1,0,0,
box17,shield, -5.26411,2.57498,0.5126,0.4,0.3,-0.25,0.035,0.035,0.035,0,0,0,0,0,0,0,-1.1,0,0,
box18,barrier,-21.8349,2.0,20.8491,1.05,1,2.95,3.16,3.16,3.16,0,30.3999,0,0,0,0,0,0,0,0,
box19,barrier,-6.93488,2.0,-25.0671,1.05,1,2.95,3.16,3.16,3.16,0,327.1,0,0,0,0,0,0,0,0,
