BoundingName | ModelName | Positions | BoundingScale | ModelScale | Model Rotation | Bounding Rotation | Offset | Mass 	//numberOfBodies on first line
14#
box0,cube,0,0,0,25,0.075,25,25,0.1,25,0,0,0,0,0,0,1.49012e-08,0,0,0,
box1,cube,50,0,0,25,0.075,25,25,0.1,25,0,0,0,0,0,0,1.49012e-08,0,0,0,
box2,cube,-50,0,0,25,0.075,25,25,0.1,25,0,0,0,0,0,0,1.49012e-08,0,0,0,
box3,cube,0,0,50,25,0.075,25,25,0.1,25,0,0,0,0,0,0,1.49012e-08,0,0,0,
box4,cube,0,0,-50,25,0.075,25,25,0.1,25,0,0,0,0,0,0,1.49012e-08,0,0,0,
box5,cube,-50,0,-50,25,0.075,25,25,0.1,25,0,0,0,0,0,0,1.49012e-08,0,0,0,
box6,cube,-50,0,50,25,0.075,25,25,0.1,25,0,0,0,0,0,0,1.49012e-08,0,0,0,
box7,cube,50,0,50,25,0.075,25,25,0.1,25,0,0,0,0,0,0,1.49012e-08,0,0,0,
box8,cube,50,0,-50,25,0.075,25,25,0.1,25,0,0,0,0,0,0,1.49012e-08,0,0,0,
box9,tower,5.15783,20.7749,-65.8801,22.9499,22.9499,22.9499,0.02,0.02,0.02,0,320.6,0,0,0,0,0,0,0,0,
box10,heart,-0,1.17498,20,0.4,0.3,-0.25,0.14,0.14,0.14,0,0,0,0,0,0,0,-1.1,0,0,
box11,shield, 0,2.57498,-20,0.4,0.3,-0.25,0.035,0.035,0.035,0,0,0,0,0,0,0,-1.1,0,0,
box12,heart,-20,1.17498,0,0.4,0.3,-0.25,0.14,0.14,0.14,0,0,0,0,0,0,0,-1.1,0,0,
box13,shield, 20,2.57498,0,0.4,0.3,-0.25,0.035,0.035,0.035,0,0,0,0,0,0,0,-1.1,0,0,

